815,381
793,410
771,440
746,476
714,510
695,552
672,581
642,612
611,661
569,695
516,726
465,729
416,717
385,698
354,667
318,633
294,594
261,563
228,524
208,499
205,474
217,457
242,424
270,409
301,381
328,359
351,339
360,322
362,301
354,287
334,269
308,245
283,219
259,199
236,183
217,172
192,174
150,174
102,169
77,155
46,143
18,119
14,77
21,46
42,28
63,14
88,14
121,20
158,31
203,38
248,45
289,54
323,60
354,66
376,82
392,104
404,126
423,147
438,169
458,180
490,185
514,175
525,154
528,126
528,101
536,68
542,48
563,38
588,34
602,35
617,45
633,49
653,51
678,57
703,66
732,76
760,82
790,90
813,96
846,101
866,107
894,118
908,130
925,144
931,169
939,189
934,213
925,241
908,261
897,272
888,287
872,306
860,328
838,353
